url,arquivo,titulo,data_publicacao,data_atualizacao,tipo_conteudo,categoria,tema_principal,marca,produto,ano_modelo,autor,metodo,testado_presencialmente,fontes_presentes,preco_com_data,imagem_com_licenca,risco_editorial,duplicidade,trafego,impressoes,cliques,links_internos,links_externos,decisao,prioridade,responsavel,status,observacoes
/melhores-apps-de-treino-para-ciclismo-2026-comparativo-entre-zwift-trainerroad-trainingpeaks-e-mywhoosh/,2026-07-17-25-melhores-apps-de-treino-para-ciclismo-2026-comparativo-entre-zwift-trainerroad-trainingpeaks-e-mywhoosh.md,"Melhores Apps de Treino para Ciclismo 2026: Comparativo entre Zwift, TrainerRoad, TrainingPeaks e MyWhoosh",2026-07-17,2026-07-17,comparativo,comparativo,apps de treino,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,baixo,,,,,atualizar,3,Sergio,nao_iniciado,"Tema válido. Preços de assinatura precisam de fontes. Comparativo útil se bem executado."
/melhores-capacetes-de-ciclismo-de-estrada-2026-de-r-200-a-r-2-000/,2026-07-15-23-melhores-capacetes-de-ciclismo-de-estrada-2026-de-r-200-a-r-2-000.md,"Melhores Capacetes de Ciclismo de Estrada 2026: De R$ 200 a R$ 2.000",2026-07-15,2026-07-15,guia-de-compra,guia-de-compra,capacetes,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-15),sem origem comprovada,alto,,baixo,,,,,reescrever,1,Sergio,nao_iniciado,"SEGURANÇA - capacetes. Informações sobre segurança precisam ser verificadas. Certificações exigem fontes oficiais."
/melhores-pedais-clipless-para-iniciantes-em-ciclismo-de-estrada-qual-escolher-em-2026/,2026-07-14-22-melhores-pedais-clipless-para-iniciantes-em-ciclismo-de-estrada-qual-escolher-em-2026.md,"Melhores Pedais Clipless para Iniciantes em Ciclismo de Estrada: Qual Escolher em 2026",2026-07-14,2026-07-14,guia-de-compra,guia-de-compra,pedais,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-14),sem origem comprovada,medio,,baixo,,,,,atualizar,2,Sergio,nao_iniciado,Tema útil. Verificar compatibilidade com sapatas e pedais. Preços precisam de fontes.
/melhores-rodas-de-carbono-custo-beneficio-para-bike-de-estrada-em-2026-guia-completo/,2026-07-13-21-melhores-rodas-de-carbono-custo-beneficio-para-bike-de-estrada-em-2026-guia-completo.md,"Melhores Rodas de Carbono Custo-Benefício para Bike de Estrada em 2026: Guia Completo",2026-07-13,2026-07-13,guia-de-compra,guia-de-compra,rodas,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-13),sem origem comprovada,medio,,baixo,,,,,atualizar,2,Sergio,nao_iniciado,Peso e compatibilidade exigem fontes precisas. Separar por faixa de preço.
/o-que-as-equipes-do-worldtour-estao-usando-em-2026-equipamentos-bikes-e-componentes/,2026-07-10-19-o-que-as-equipes-do-worldtour-estao-usando-em-2026-equipamentos-bikes-e-componentes.md,"O que as equipes do WorldTour estão usando em 2026: equipamentos, bikes e componentes",2026-07-10,2026-07-10,noticia,noticia,worldtour,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,baixo,,,,,atualizar,3,Sergio,nao_iniciado,Verificar se as bikes mencionadas realmente são usadas pelas equipes. Fontes de corridas reais necessárias.
/onde-comprar-bike-de-estrada-importada-no-brasil-em-2026-lojas-sites-e-cuidados/,2026-07-19-27-onde-comprar-bike-de-estrada-importada-no-brasil-em-2026-lojas-sites-e-cuidados.md,"Onde Comprar Bike de Estrada Importada no Brasil em 2026: Lojas, Sites e Cuidados",2026-07-19,2026-07-19,guia-de-compra,guia-de-compra,importação,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-19),sem origem comprovada,alto,,baixo,,,,,reescrever,1,Sergio,nao_iniciado,"Recomendações de lojas e importação. Pode causar prejuízo se info errada. Exige pesquisa real de lojas, prazos, custos."
/guia-de-manutencao-basica-para-bike-de-estrada-o-que-todo-ciclista-precisa-saber/,2026-07-18-26-guia-de-manutencao-basica-para-bike-de-estrada-o-que-todo-ciclista-precisa-saber.md,"Guia de Manutenção Básica para Bike de Estrada: O que Todo Ciclista Precisa Saber",2026-07-18,2026-07-18,guia-tecnico,guia-tecnico,manutenção,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,medio,,,,,atualizar,3,Sergio,nao_iniciado,Tema perene e útil. Verificar procedimentos técnicos. Adicionar links para tutoriais e marcas de ferramentas.
/quadro-de-carbono-vs-aluminio-em-bikes-de-estrada-vale-a-pena-pagar-mais/,2026-07-28-6-quadro-de-carbono-vs-aluminio-em-bikes-de-estrada-vale-a-pena-pagar-mais.md,"Quadro de Carbono vs Alumínio em Bikes de Estrada: Vale a Pena Pagar Mais?",2026-07-28,2026-07-28,comparativo,comparativo,materiais de quadro,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,medio,,,,,atualizar,3,Sergio,nao_iniciado,Guia perene. Remover ano. Adicionar dados de peso e durabilidade com fontes.
/quanto-custa-importar-uma-bike-de-estrada-em-2026-impostos-frete-e-burocracia/,2026-07-20-28-quanto-custa-importar-uma-bike-de-estrada-em-2026-impostos-frete-e-burocracia.md,"Quanto Custa Importar uma Bike de Estrada em 2026: Impostos, Frete e Burocracia",2026-07-20,2026-07-20,guia-tecnico,guia-tecnico,importação,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,alto,P27 ScottImport,medio,,,,,reescrever,1,Sergio,nao_iniciado,"Informação sobre impostos e burocracia pode causar prejuízo. Exige pesquisa atualizada da Receita Federal. Duplicado com post 27 e 33."
/quanto-custa-importar-uma-scott-addict-para-o-brasil-em-2026/,2026-08-03-quanto-custa-importar-uma-scott-addict-para-o-brasil-em-2026.md,"Quanto Custa Importar uma Scott Addict para o Brasil em 2026",2026-08-03,2026-08-03,guia-tecnico,guia-tecnico,importação Scott,Scott,Addict,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-08-03),sem origem comprovada,alto,P11 P28,baixo,,,,,fundir,1,Sergio,nao_iniciado,"Redundante com post 11 (Scott Addict) e post 28 (importação geral). Fundir informações no post 28 ou no post 11."
/scott-addict-2026-ficha-tecnica-completa-preco-no-brasil-e-para-quem-e-indicada/,2026-06-29-11-scott-addict-2026-ficha-tecnica-completa-preco-no-brasil-e-para-quem-e-indicada.md,"Scott Addict 2026: ficha técnica completa, preço no Brasil e para quem é indicada",2026-06-29,2026-06-29,review,review,Scott Addict,Scott,Addict,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-06-29),sem origem comprovada,alto,P33,medio,,,,,reescrever,2,Sergio,nao_iniciado,"Especificações técnicas sem fontes. Preço sem loja confirmada. Revisar configurações disponíveis no Brasil."
/scott-addict-vs-cervélo-caledonia-comparativo-completo-para-ciclistas-em-2026/,2026-07-25-4-scott-addict-vs-cervélo-caledonia-comparativo-completo-para-ciclistas-em-2026.md,"Scott Addict vs Cervélo Caledonia: Comparativo Completo para Ciclistas em 2026",2026-07-25,2026-07-25,comparativo,comparativo,Scott Addict vs Caledonia,Scott,Addict,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-25),sem origem comprovada,alto,,baixo,,,,,reescrever,2,Sergio,nao_iniciado,"Comparativo entre bikes de categorias diferentes (endurance vs all-round). Verificar versões equivalentes."
/scott-foil-2026-review-completo-do-modelo-aero-e-suas-novidades/,2026-06-30-12-scott-foil-2026-review-completo-do-modelo-aero-e-suas-novidades.md,"Scott Foil 2026: Review Completo do Modelo Aero e Suas Novidades",2026-06-30,2026-06-30,review,review,Scott Foil,Scott,Foil,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-06-30),sem origem comprovada,alto,,medio,,,,,reescrever,2,Sergio,nao_iniciado,"""Review completo"" mas é desk research. Enganoso. Especificações precisam de fontes. Separar versões e gerações."
/sensores-de-potencia-para-bike-vale-a-pena-para-ciclista-amador-guia-completo-2026/,2026-07-16-24-sensores-de-potencia-para-bike-vale-a-pena-para-ciclista-amador-guia-completo-2026.md,"Sensores de Potência para Bike: Vale a Pena para Ciclista Amador? Guia Completo 2026",2026-07-16,2026-07-16,guia-tecnico,guia-tecnico,sensores de potência,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-16),sem origem comprovada,medio,,baixo,,,,,atualizar,2,Sergio,nao_iniciado,Tema útil. Verificar compatibilidade e preços. Adicionar marcas e modelos reais com fontes.
/shimano-105-vs-ultegra-a-diferenca-de-preco-justifica/,2026-07-29-7-shimano-105-vs-ultegra-a-diferenca-de-preco-justifica.md,"Shimano 105 vs Ultegra: a Diferença de Preço Justifica?",2026-07-29,2026-07-29,comparativo,comparativo,Shimano 105 vs Ultegra,Shimano,105 / Ultegra,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-29),sem origem comprovada,medio,,medio,,,,,atualizar,2,Sergio,nao_iniciado,Tema perene. Verificar geração correta (12s 105 R7100 vs Ultegra R8100). Preços brasileiros com fontes.
/specialized-tarmac-sl8-vale-o-investimento-review-completo/,2026-07-04-14-specialized-tarmac-sl8-vale-o-investimento-review-completo.md,"Specialized Tarmac SL8: Vale o Investimento? Review Completo",2026-07-04,2026-07-04,review,review,Specialized Tarmac SL8,Specialized,Tarmac SL8,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-04),sem origem comprovada,alto,,medio,,,,,reescrever,2,Sergio,nao_iniciado,"""Review completo"" mas é desk research. Preço sem fonte. Especificações precisam de dados oficiais Specialized."
/tendencias-em-bikes-de-estrada-2026-aero-esta-vencendo-as-leves/,2026-07-08-18-tendencias-em-bikes-de-estrada-2026-aero-esta-vencendo-as-leves.md,"Tendências em Bikes de Estrada 2026: Aero Está Vencendo as Leves?",2026-07-08,2026-07-08,noticia,noticia,tendências,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,baixo,,,,,manter,3,Sergio,nao_iniciado,Tema opinativo. Incluir fontes de dados de wind tunnel ou artigos técnicos. Útil como conteúdo de reflexão.
/bicicletarias-especializadas-em-bike-de-estrada-como-encontrar-a-melhor-perto-de-voce/,2026-07-23-30-bicicletarias-especializadas-em-bike-de-estrada-como-encontrar-a-melhor-perto-de-voce.md,"Bicicletarias Especializadas em Bike de Estrada: Como Encontrar a Melhor Perto de Você",2026-07-23,2026-07-23,guia-tecnico,guia-tecnico,bicicletarias,,,2026,Sergio Arantes,desk-research,nao,sem fontes,nao,sem origem comprovada,baixo,,baixo,,,,,manter,3,Sergio,nao_iniciado,Tema útil para leitores. Conteúdo pode ser mais específico. Tipo correto.
/cannondale-supersix-evo-vs-systemsix-qual-escolher-em-2026/,2026-07-06-16-cannondale-supersix-evo-vs-systemsix-qual-escolher-em-2026.md,"Cannondale SuperSix Evo vs SystemSix: Qual Escolher em 2026?",2026-07-06,2026-07-06,comparativo,comparativo,Cannondale SuperSix vs SystemSix,Cannondale,SuperSix Evo vs SystemSix,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-06),sem origem comprovada,alto,,baixo,,,,,reescrever,2,Sergio,nao_iniciado,SystemSix está descontinuado? Verificar disponibilidade real. Comparativo pode não fazer mais sentido.
/cervélo-a-preferida-dos-profissionais-do-worldtour/,2026-07-02-13-cervélo-a-preferida-dos-profissionais-do-worldtour.md,"Cervélo: a Preferida dos Profissionais do WorldTour",2026-07-02,2026-07-02,review,review,Cervélo WorldTour,Cervélo,R5,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-02),sem origem comprovada,medio,,medio,,,,,atualizar,3,Sergio,nao_iniciado,"Conteúdo institucional/histórico. Verificar afirmações sobre times que usam Cervélo. Adicionar modelos atuais."
/trek-émonda-vs-specialized-tarmac-qual-a-melhor-bike-de-escalada/,2026-07-26-5-trek-émonda-vs-specialized-tarmac-qual-a-melhor-bike-de-escalada.md,"Trek Émonda vs Specialized Tarmac: Qual a Melhor Bike de Escalada?",2026-07-26,2026-07-26,comparativo,comparativo,Émonda vs Tarmac,"Trek / Specialized","Émonda vs Tarmac",2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-26),sem origem comprovada,alto,,medio,,,,,reescrever,2,Sergio,nao_iniciado,Comparativo entre tops de linha. Verificar versões equivalentes e preços brasileiros reais.
/trek-madone-vs-trek-émonda-diferencas-entre-as-linhas-aero-e-leve-da-trek/,2026-07-05-15-trek-madone-vs-trek-émonda-diferencas-entre-as-linhas-aero-e-leve-da-trek.md,"Trek Madone vs Trek Émonda: diferenças entre as linhas aero e leve da Trek",2026-07-05,2026-07-05,comparativo,comparativo,"Madone vs Émonda","Trek / Specialized","Madone vs Émonda",2026,"Equipe Pedal Data",desk-research,nao,sem fontes reais,sim (2026-07-05),sem origem comprovada,alto,,baixo,,,,,reescrever,2,Sergio,nao_iniciado,Comparativo conceitualmente OK. Verificar dados de peso e aerodinâmica. Autor diferente (Equipe).
