url,decisao,url_destino,tipo,prioridade,score,observacoes
/2026/07/sensores-de-potencia-para-bike-vale-a-pena-para-ciclista-amador-guia-completo-2026/,atualizar,/guias/sensores-de-potencia/,301,2,,Pendente lote 4
/2026/07/melhores-apps-de-treino-para-ciclismo-2026-comparativo-entre-zwift-trainerroad-trainingpeaks-e-mywhoosh/,atualizar,/comparativos/melhores-apps-ciclismo/,301,3,,Pendente lote 5
/2026/07/guia-de-manutencao-basica-para-bike-de-estrada-o-que-todo-ciclista-precisa-saber/,atualizar,/guias/manutencao-basica/,301,3,,Pendente lote 5
/2026/07/onde-comprar-bike-de-estrada-importada-no-brasil-em-2026-lojas-sites-e-cuidados/,reescrever,/guias/comprar-bike-importada-brasil/,301,1,,Pendente lote 5
/2026/07/quanto-custa-importar-uma-bike-de-estrada-em-2026-impostos-frete-e-burocracia/,reescrever,/guias/custos-importacao-bike/,301,1,,Pendente lote 5
/2026/07/melhores-estradas-e-rotas-para-ciclismo-de-estrada-no-brasil-guia-por-regiao/,manter,/rotas/melhores-estradas-ciclismo-brasil/,301,3,,Manter com atualizações
/2026/07/bicicletarias-especializadas-em-bike-de-estrada-como-encontrar-a-melhor-perto-de-voce/,manter,/guias/bicicletarias-especializadas/,301,3,,Manter
/2026/07/scott-addict-vs-cervelo-caledonia-comparativo-completo-para-ciclistas-em-2026/,reescrever,/comparativos/scott-addict-vs-caledonia/,301,2,,Pendente lote 2
/2026/07/trek-emonda-vs-specialized-tarmac-qual-a-melhor-bike-de-escalada/,reescrever,/comparativos/trek-emonda-vs-tarmac/,301,2,,Pendente lote 3
/2026/07/quadro-de-carbono-vs-aluminio-em-bikes-de-estrada-vale-a-pena-pagar-mais/,atualizar,/guias/carbono-vs-aluminio/,301,3,,Pendente lote 5
/2026/07/shimano-105-vs-ultegra-a-diferenca-de-preco-justifica/,atualizar,/comparativos/shimano-105-vs-ultegra/,301,2,,Pendente lote 4
/2026/07/como-escolher-o-tamanho-certo-de-bike-de-estrada-guia-completo-com-tabela-de-medidas/,atualizar,/guias/tamanho-bike-estrada/,301,3,,Pendente lote 5
/2026/08/quanto-custa-importar-uma-scott-addict-para-o-brasil-em-2026/,fundir,/guias/custos-importacao-bike/,301,1,,Fundir com post 28 (importação geral)
/bem-vindo/,manter,/bem-vindo/,301,3,,Post de boas-vindas. Manter como está.
